glyph name;code points
.notdef;
A;U+0041
AE;U+00C6
Aacute;U+00C1
Abreve;U+0102
Acircumflex;U+00C2
Adieresis;U+00C4
Agrave;U+00C0
Amacron;U+0100
Aogonek;U+0104
Aring;U+00C5
Atilde;U+00C3
B;U+0042
C;U+0043
Cacute;U+0106
Ccaron;U+010C
Ccedilla;U+00C7
Ccircumflex;U+0108
Cdotaccent;U+010A
D;U+0044
Dcaron;U+010E
Dcroat;U+0110
E;U+0045
Eacute;U+00C9
Ecaron;U+011A
Ecircumflex;U+00CA
Edieresis;U+00CB
Edotaccent;U+0116
Egrave;U+00C8
Emacron;U+0112
Eng;U+014A
Eogonek;U+0118
Eth;U+00D0
Euro;U+20AC
F;U+0046
G;U+0047
Gbreve;U+011E
Gcircumflex;U+011C
Gdotaccent;U+0120
H;U+0048
Hbar;U+0126
I;U+0049
Iacute;U+00CD
Ibreve;U+012C
Icircumflex;U+00CE
Idieresis;U+00CF
Idotaccent;U+0130
Igrave;U+00CC
Imacron;U+012A
Iogonek;U+012E
Itilde;U+0128
J;U+004A
Jcircumflex;U+0134
K;U+004B
L;U+004C
Lacute;U+0139
Lcaron;U+013D
Ldot;U+013F
Lslash;U+0141
M;U+004D
N;U+004E
Nacute;U+0143
Ncaron;U+0147
Ntilde;U+00D1
O;U+004F
OE;U+0152
Oacute;U+00D3
Obreve;U+014E
Ocircumflex;U+00D4
Odieresis;U+00D6
Ograve;U+00D2
Ohungarumlaut;U+0150
Omacron;U+014C
Oslash;U+00D8
Otilde;U+00D5
P;U+0050
Q;U+0051
Q.BRACKET.varAlt01;
R;U+0052
Racute;U+0154
Rcaron;U+0158
S;U+0053
Sacute;U+015A
Scaron;U+0160
Scedilla;U+015E
Scircumflex;U+015C
T;U+0054
Tbar;U+0166
Tcaron;U+0164
Thorn;U+00DE
U;U+0055
Uacute;U+00DA
Ubreve;U+016C
Ucircumflex;U+00DB
Udieresis;U+00DC
Ugrave;U+00D9
Uhungarumlaut;U+0170
Umacron;U+016A
Uogonek;U+0172
Uring;U+016E
V;U+0056
W;U+0057
Wacute;U+1E82
Wcircumflex;U+0174
Wdieresis;U+1E84
Wgrave;U+1E80
X;U+0058
Y;U+0059
Yacute;U+00DD
Ycircumflex;U+0176
Ydieresis;U+0178
Ygrave;U+1EF2
Z;U+005A
Zacute;U+0179
Zcaron;U+017D
Zdotaccent;U+017B
a;U+0061
aacute;U+00E1
abreve;U+0103
acircumflex;U+00E2
acute;U+00B4
acutecomb;U+0301
adieresis;U+00E4
ae;U+00E6
agrave;U+00E0
amacron;U+0101
ampersand;U+0026
aogonek;U+0105
approxequal;U+2248
aring;U+00E5
arrowdown;U+2193
arrowleft;U+2190
arrowleft.ss03;
arrowright;U+2192
arrowright.ss03;
arrowup;U+2191
asciicircum;U+005E
asciitilde;U+007E
asterisk;U+002A
at;U+0040
atilde;U+00E3
b;U+0062
backslash;U+005C
bar;U+007C
braceleft;U+007B
braceright;U+007D
bracketleft;U+005B
bracketright;U+005D
breve;U+02D8
brokenbar;U+00A6
bullet;U+2022
c;U+0063
cacute;U+0107
caron;U+02C7
ccaron;U+010D
ccedilla;U+00E7
ccircumflex;U+0109
cdotaccent;U+010B
cedilla;U+00B8
cent;U+00A2
cent.BRACKET.varAlt01;
circumflex;U+02C6
colon;U+003A
comma;U+002C
comma.ss02;
copyright;U+00A9
currency;U+00A4
d;U+0064
dagger;U+2020
daggerdbl;U+2021
dcaron;U+010F
dcroat;U+0111
degree;U+00B0
dieresis;U+00A8
divide;U+00F7
dollar;U+0024
dollar.BRACKET.varAlt01;
dotaccent;U+02D9
dotlessi;U+0131
e;U+0065
eacute;U+00E9
ecaron;U+011B
ecircumflex;U+00EA
edieresis;U+00EB
edotaccent;U+0117
egrave;U+00E8
eight;U+0038
eight.dnom;
eight.numr;
eight.ss02;
eight.tf;
ellipsis;U+2026
emacron;U+0113
emdash;U+2014
emptyset;U+2205
endash;U+2013
eng;U+014B
eogonek;U+0119
equal;U+003D
eth;U+00F0
exclam;U+0021
exclamdown;U+00A1
f;U+0066
fi;U+FB01
five;U+0035
five.dnom;
five.numr;
five.ss02;
five.tf;
fl;U+FB02
florin;U+0192
four;U+0034
four.dnom;
four.numr;
four.ss02;
four.tf;
fraction;U+2044
g;U+0067
gbreve;U+011F
gcircumflex;U+011D
gdotaccent;U+0121
germandbls;U+00DF
grave;U+0060
gravecomb;U+0300
greater;U+003E
greaterequal;U+2265
guillemotleft;U+00AB
guillemotright;U+00BB
guilsinglleft;U+2039
guilsinglright;U+203A
h;U+0068
hbar;U+0127
hungarumlaut;U+02DD
hyphen;U+002D
i;U+0069
i.loclTRK;
iacute;U+00ED
ibreve;U+012D
icircumflex;U+00EE
idieresis;U+00EF
igrave;U+00EC
imacron;U+012B
infinity;U+221E
integral;U+222B
iogonek;U+012F
itilde;U+0129
j;U+006A
jcircumflex;U+0135
k;U+006B
l;U+006C
lacute;U+013A
lcaron;U+013E
ldot;U+0140
less;U+003C
lessequal;U+2264
logicalnot;U+00AC
lozenge;U+25CA
lslash;U+0142
m;U+006D
macron;U+00AF
minus;U+2212
minute;U+2032
multiply;U+00D7
n;U+006E
nacute;U+0144
ncaron;U+0148
nine;U+0039
nine.dnom;
nine.numr;
nine.ss02;
nine.tf;
notequal;U+2260
ntilde;U+00F1
numbersign;U+0023
o;U+006F
oacute;U+00F3
obreve;U+014F
